sender,total_sent
carNoIp[7],629
carNoIp[5],661
carNoIp[14],661
carNoIp[45],629
carNoIp[38],676
carNoIp[3],727
carNoIp[44],677
carNoIp[22],720
carNoIp[62],684
carNoIp[18],753
carNoIp[116],629
carNoIp[19],774
carNoIp[71],709
carNoIp[139],638
carNoIp[135],648
carNoIp[96],694
carNoIp[120],660
carNoIp[89],729
carNoIp[76],738
carNoIp[51],787
carNoIp[64],767
carNoIp[60],776
carNoIp[82],756
carNoIp[112],749
carNoIp[11],914
carNoIp[42],870
carNoIp[56],859
carNoIp[39],896
carNoIp[97],835
carNoIp[46],901
carNoIp[23],946
carNoIp[50],921
carNoIp[121],823
carNoIp[150],799
carNoIp[154],797
carNoIp[146],823
carNoIp[190],769
carNoIp[94],905
carNoIp[66],950
carNoIp[164],833
carNoIp[86],958
carNoIp[61],995
carNoIp[6],1066
carNoIp[185],842
carNoIp[65],1003
carNoIp[169],887
carNoIp[301],723
carNoIp[233],815
carNoIp[313],729
carNoIp[93],1011
carNoIp[123],973
carNoIp[88],1026
carNoIp[109],1002
carNoIp[27],1118
carNoIp[228],871
carNoIp[15],1148
carNoIp[104],1037
carNoIp[177],952
carNoIp[160],976
carNoIp[92],1070
carNoIp[212],936
carNoIp[156],1000
carNoIp[211],944
carNoIp[57],1137
carNoIp[32],1168
carNoIp[188],978
carNoIp[49],1167
carNoIp[24],1196
carNoIp[68],1143
carNoIp[0],1227
carNoIp[20],1215
carNoIp[251],935
carNoIp[191],1016
carNoIp[196],1012
carNoIp[91],1164
carNoIp[158],1071
carNoIp[184],1044
carNoIp[2],1272
carNoIp[320],874
carNoIp[332],912
carNoIp[10],1324
carNoIp[179],1128
carNoIp[159],1149
carNoIp[238],1052
carNoIp[119],1208
carNoIp[205],1104
carNoIp[126],1228
carNoIp[98],1288
carNoIp[85],1303
carNoIp[269],1092
carNoIp[142],1255
carNoIp[34],1391
carNoIp[194],1200
carNoIp[25],1418
carNoIp[81],1345
carNoIp[430],916
carNoIp[58],1387
carNoIp[4],1456
carNoIp[33],1427
carNoIp[101],1351
carNoIp[47],1422
carNoIp[153],1291
carNoIp[393],998
carNoIp[406],1000
carNoIp[149],1319
carNoIp[373],1048
carNoIp[364],1067
carNoIp[329],1117
carNoIp[297],1167
carNoIp[213],1278
carNoIp[360],1090
carNoIp[31],1512
carNoIp[35],1520
carNoIp[12],1556
carNoIp[9],1572
carNoIp[131],1424
carNoIp[162],1380
carNoIp[8],1588
carNoIp[36],1544
carNoIp[235],1303
carNoIp[195],1367
carNoIp[272],1277
carNoIp[52],1558
carNoIp[175],1411
carNoIp[209],1368
carNoIp[167],1422
carNoIp[28],1595
carNoIp[171],1431
carNoIp[296],1283
carNoIp[151],1475
carNoIp[16],1644
carNoIp[79],1575
carNoIp[103],1552
carNoIp[144],1496
carNoIp[316],1282
carNoIp[55],1626
carNoIp[152],1497
carNoIp[343],1267
carNoIp[276],1345
carNoIp[80],1594
carNoIp[67],1621
carNoIp[331],1299
carNoIp[75],1622
carNoIp[311],1331
carNoIp[239],1430
carNoIp[307],1350
carNoIp[40],1679
carNoIp[279],1393
carNoIp[382],1278
carNoIp[105],1627
carNoIp[310],1380
carNoIp[289],1422
carNoIp[21],1765
carNoIp[53],1730
carNoIp[17],1785
carNoIp[37],1768
carNoIp[218],1567
carNoIp[206],1585
carNoIp[207],1586
carNoIp[125],1692
carNoIp[13],1842
carNoIp[141],1694
carNoIp[73],1788
carNoIp[41],1832
carNoIp[182],1666
carNoIp[69],1808
carNoIp[127],1741
carNoIp[145],1721
carNoIp[286],1551
carNoIp[113],1766
carNoIp[118],1763
carNoIp[134],1751
carNoIp[193],1671
carNoIp[128],1769
carNoIp[84],1822
carNoIp[43],1876
carNoIp[253],1631
carNoIp[173],1734
carNoIp[147],1769
carNoIp[29],1921
carNoIp[63],1884
carNoIp[349],1525
carNoIp[224],1682
carNoIp[111],1827
carNoIp[369],1519
carNoIp[353],1534
carNoIp[107],1847
carNoIp[157],1779
carNoIp[148],1797
carNoIp[456],1418
