sender,total_sent
carNoIp[7],621
carNoIp[5],653
carNoIp[3],661
carNoIp[10],742
carNoIp[19],646
carNoIp[15],720
carNoIp[9],819
carNoIp[24],585
carNoIp[20],654
carNoIp[11],879
carNoIp[4],944
carNoIp[14],887
carNoIp[6],952
carNoIp[13],907
carNoIp[17],860
carNoIp[21],812
carNoIp[25],762
carNoIp[22],888
carNoIp[8],1109
carNoIp[35],738
carNoIp[18],997
carNoIp[27],894
carNoIp[12],1082
carNoIp[0],1155
carNoIp[28],848
carNoIp[2],1170
carNoIp[16],1064
carNoIp[32],826
carNoIp[44],728
carNoIp[39],812
carNoIp[40],771
carNoIp[51],775
carNoIp[1],1341
carNoIp[50],845
carNoIp[34],976
carNoIp[47],852
carNoIp[42],860
carNoIp[30],1053
carNoIp[53],806
carNoIp[26],1123
carNoIp[45],874
carNoIp[29],1068
carNoIp[37],951
carNoIp[65],653
carNoIp[69],592
carNoIp[54],868
carNoIp[38],995
carNoIp[61],796
carNoIp[33],1139
carNoIp[31],1234
carNoIp[49],1050
carNoIp[55],996
carNoIp[36],1133
carNoIp[60],889
carNoIp[67],853
carNoIp[68],796
carNoIp[52],1047
carNoIp[59],990
carNoIp[83],619
carNoIp[56],1007
carNoIp[64],894
carNoIp[43],1148
carNoIp[57],1034
carNoIp[63],1007
carNoIp[23],1514
carNoIp[76],768
carNoIp[58],1125
carNoIp[70],952
carNoIp[87],775
carNoIp[62],1095
carNoIp[41],1305
carNoIp[101],625
carNoIp[98],716
carNoIp[81],856
carNoIp[66],1129
carNoIp[88],879
carNoIp[89],894
carNoIp[94],848
carNoIp[48],1444
carNoIp[92],893
carNoIp[100],783
carNoIp[80],971
carNoIp[46],1505
carNoIp[99],887
carNoIp[79],1086
carNoIp[84],1020
carNoIp[72],1170
carNoIp[71],1241
carNoIp[124],561
carNoIp[95],1009
carNoIp[90],1080
carNoIp[75],1221
carNoIp[91],1095
carNoIp[85],1127
carNoIp[77],1211
carNoIp[73],1282
carNoIp[105],914
carNoIp[74],1321
carNoIp[102],1013
carNoIp[78],1272
carNoIp[110],902
carNoIp[82],1225
carNoIp[134],672
carNoIp[106],989
carNoIp[97],1122
carNoIp[114],878
carNoIp[93],1194
carNoIp[122],762
carNoIp[109],985
carNoIp[86],1311
carNoIp[115],975
carNoIp[107],1100
carNoIp[116],914
carNoIp[131],854
carNoIp[112],992
carNoIp[111],1068
carNoIp[135],824
carNoIp[120],896
carNoIp[132],849
carNoIp[96],1286
carNoIp[119],979
carNoIp[136],801
carNoIp[108],1115
carNoIp[104],1188
carNoIp[103],1271
carNoIp[130],964
carNoIp[118],1113
carNoIp[113],1193
carNoIp[127],1061
carNoIp[117],1144
carNoIp[150],774
carNoIp[146],839
carNoIp[126],1098
carNoIp[167],604
carNoIp[137],994
carNoIp[142],932
carNoIp[141],943
carNoIp[128],1152
carNoIp[138],1057
carNoIp[121],1205
carNoIp[153],843
carNoIp[133],1157
carNoIp[129],1221
carNoIp[140],1066
carNoIp[177],651
carNoIp[152],908
carNoIp[164],778
carNoIp[125],1323
carNoIp[159],896
carNoIp[160],835
carNoIp[123],1334
carNoIp[144],1094
carNoIp[139],1221
carNoIp[151],1037
carNoIp[143],1171
carNoIp[147],1114
carNoIp[156],936
carNoIp[172],827
carNoIp[165],908
carNoIp[170],923
carNoIp[162],961
carNoIp[145],1214
carNoIp[189],678
carNoIp[194],622
carNoIp[148],1186
carNoIp[149],1186
carNoIp[154],1124
carNoIp[155],1124
carNoIp[157],1062
carNoIp[158],1062
carNoIp[161],1000
carNoIp[163],1000
carNoIp[166],990
carNoIp[168],990
carNoIp[169],990
carNoIp[171],990
carNoIp[173],938
carNoIp[174],938
carNoIp[175],938
carNoIp[176],875
carNoIp[178],875
carNoIp[179],875
carNoIp[180],813
carNoIp[181],813
carNoIp[182],813
carNoIp[183],813
carNoIp[184],751
carNoIp[185],751
carNoIp[186],751
carNoIp[187],751
carNoIp[188],689
carNoIp[190],689
carNoIp[191],689
carNoIp[192],627
carNoIp[193],627
carNoIp[195],627
carNoIp[196],564
carNoIp[197],564
carNoIp[198],564
carNoIp[199],564
carNoIp[200],502
carNoIp[201],502
carNoIp[202],502
carNoIp[203],502
carNoIp[204],490
carNoIp[205],490
carNoIp[206],490
carNoIp[207],490
carNoIp[208],490
carNoIp[209],490
carNoIp[210],490
carNoIp[211],490
carNoIp[212],440
carNoIp[213],440
carNoIp[214],440
carNoIp[215],440
carNoIp[216],378
carNoIp[217],378
carNoIp[218],378
carNoIp[219],378
carNoIp[220],316
carNoIp[221],316
carNoIp[222],316
carNoIp[223],316
carNoIp[224],254
carNoIp[225],254
carNoIp[226],254
carNoIp[227],254
carNoIp[228],191
carNoIp[229],191
carNoIp[230],191
carNoIp[231],191
carNoIp[232],129
carNoIp[233],129
carNoIp[234],129
carNoIp[235],129
carNoIp[236],67
carNoIp[237],67
carNoIp[238],67
carNoIp[239],67
carNoIp[240],5
carNoIp[241],5
carNoIp[242],5
carNoIp[243],5
