sender,total_sent
carNoIp[7],621
carNoIp[5],652
carNoIp[14],632
carNoIp[3],710
carNoIp[24],670
carNoIp[28],654
carNoIp[19],733
carNoIp[18],752
carNoIp[15],775
carNoIp[10],815
carNoIp[9],825
carNoIp[20],783
carNoIp[32],735
carNoIp[50],694
carNoIp[11],881
carNoIp[35],756
carNoIp[36],753
carNoIp[59],709
carNoIp[42],773
carNoIp[4],943
carNoIp[65],695
carNoIp[6],951
carNoIp[37],818
carNoIp[22],939
carNoIp[38],861
carNoIp[102],658
carNoIp[61],834
carNoIp[33],943
carNoIp[126],576
carNoIp[25],993
carNoIp[13],1061
carNoIp[62],855
carNoIp[21],1026
carNoIp[29],996
carNoIp[17],1062
carNoIp[86],777
carNoIp[43],950
carNoIp[79],833
carNoIp[12],1125
carNoIp[27],1065
carNoIp[0],1153
carNoIp[75],868
carNoIp[31],1058
carNoIp[111],737
carNoIp[99],802
carNoIp[16],1141
carNoIp[115],730
carNoIp[8],1189
carNoIp[89],889
carNoIp[55],1043
carNoIp[95],882
carNoIp[72],952
carNoIp[119],767
carNoIp[129],750
carNoIp[64],1004
carNoIp[76],946
carNoIp[80],935
carNoIp[51],1109
carNoIp[91],955
carNoIp[104],873
carNoIp[39],1150
carNoIp[40],1133
carNoIp[96],933
carNoIp[90],993
carNoIp[46],1174
carNoIp[47],1218
carNoIp[93],1031
carNoIp[58],1183
carNoIp[30],1293
carNoIp[77],1087
carNoIp[44],1237
carNoIp[98],1031
carNoIp[23],1348
carNoIp[26],1328
carNoIp[73],1122
carNoIp[94],1064
carNoIp[97],1053
carNoIp[69],1170
carNoIp[85],1109
carNoIp[54],1264
carNoIp[117],977
carNoIp[66],1213
carNoIp[138],925
carNoIp[41],1299
carNoIp[105],1053
carNoIp[45],1304
carNoIp[146],897
carNoIp[101],1085
carNoIp[113],1033
carNoIp[145],913
carNoIp[208],666
carNoIp[74],1212
carNoIp[137],963
carNoIp[53],1319
carNoIp[161],872
carNoIp[83],1224
carNoIp[131],1058
carNoIp[2],1568
carNoIp[48],1414
carNoIp[68],1312
carNoIp[71],1318
carNoIp[49],1426
carNoIp[82],1261
carNoIp[144],1015
carNoIp[63],1374
carNoIp[120],1108
carNoIp[60],1379
carNoIp[57],1405
carNoIp[158],970
carNoIp[67],1366
carNoIp[135],1098
carNoIp[116],1144
carNoIp[100],1234
carNoIp[143],1068
carNoIp[147],1050
carNoIp[216],769
carNoIp[107],1227
carNoIp[151],1056
carNoIp[163],1007
carNoIp[103],1283
carNoIp[231],751
carNoIp[171],1037
carNoIp[130],1218
carNoIp[159],1084
carNoIp[204],906
carNoIp[167],1074
carNoIp[84],1410
carNoIp[70],1474
carNoIp[34],1637
carNoIp[190],1006
carNoIp[118],1299
carNoIp[193],1004
carNoIp[185],1048
carNoIp[229],881
carNoIp[81],1492
carNoIp[125],1328
carNoIp[157],1184
carNoIp[142],1274
carNoIp[109],1402
carNoIp[110],1410
carNoIp[127],1350
carNoIp[150],1258
carNoIp[168],1195
carNoIp[78],1550
carNoIp[162],1209
carNoIp[87],1542
carNoIp[114],1430
carNoIp[178],1182
carNoIp[124],1392
carNoIp[154],1277
carNoIp[186],1155
carNoIp[207],1076
carNoIp[88],1578
carNoIp[182],1191
carNoIp[202],1087
carNoIp[123],1427
carNoIp[149],1341
carNoIp[92],1590
carNoIp[203],1115
carNoIp[172],1261
carNoIp[213],1095
carNoIp[139],1412
carNoIp[122],1459
carNoIp[177],1252
carNoIp[195],1180
carNoIp[140],1413
carNoIp[164],1312
carNoIp[191],1223
carNoIp[136],1453
carNoIp[199],1200
carNoIp[155],1391
carNoIp[211],1203
carNoIp[192],1259
carNoIp[303],836
carNoIp[232],1112
carNoIp[187],1325
carNoIp[255],1065
carNoIp[307],841
carNoIp[148],1489
carNoIp[160],1432
carNoIp[275],976
carNoIp[252],1094
carNoIp[170],1450
carNoIp[106],1744
carNoIp[260],1110
carNoIp[248],1174
carNoIp[134],1653
carNoIp[201],1342
carNoIp[242],1190
carNoIp[265],1111
carNoIp[327],867
carNoIp[284],1038
carNoIp[294],1025
carNoIp[226],1301
carNoIp[217],1347
carNoIp[314],936
carNoIp[277],1094
carNoIp[214],1391
carNoIp[230],1333
carNoIp[273],1148
carNoIp[262],1211
carNoIp[1],2275
carNoIp[222],1386
carNoIp[269],1183
carNoIp[241],1300
carNoIp[298],1100
carNoIp[128],1812
carNoIp[258],1276
carNoIp[247],1317
carNoIp[166],1666
carNoIp[152],1723
carNoIp[227],1434
carNoIp[197],1541
carNoIp[179],1651
carNoIp[234],1404
carNoIp[251],1362
carNoIp[56],2167
carNoIp[196],1575
carNoIp[291],1231
carNoIp[52],2213
carNoIp[311],1139
carNoIp[212],1558
carNoIp[156],1771
carNoIp[268],1323
carNoIp[112],1971
carNoIp[295],1249
carNoIp[220],1544
carNoIp[200],1611
carNoIp[239],1473
carNoIp[292],1267
carNoIp[244],1453
carNoIp[132],1937
carNoIp[279],1322
carNoIp[108],2033
carNoIp[228],1538
carNoIp[271],1378
carNoIp[243],1491
