sender,total_sent
carNoIp[7],623
carNoIp[14],635
carNoIp[5],652
carNoIp[3],693
carNoIp[28],659
carNoIp[56],597
carNoIp[63],592
carNoIp[19],743
carNoIp[18],753
carNoIp[10],795
carNoIp[27],741
carNoIp[15],800
carNoIp[9],830
carNoIp[24],790
carNoIp[20],816
carNoIp[76],642
carNoIp[32],783
carNoIp[11],886
carNoIp[92],624
carNoIp[52],786
carNoIp[4],943
carNoIp[23],914
carNoIp[25],909
carNoIp[6],1001
carNoIp[38],896
carNoIp[22],959
carNoIp[85],761
carNoIp[44],887
carNoIp[97],734
carNoIp[78],785
carNoIp[70],817
carNoIp[58],876
carNoIp[45],915
carNoIp[33],959
carNoIp[101],759
carNoIp[86],810
carNoIp[30],982
carNoIp[53],927
carNoIp[13],1064
carNoIp[37],971
carNoIp[65],906
carNoIp[26],1039
carNoIp[77],871
carNoIp[69],904
carNoIp[29],1043
carNoIp[157],653
carNoIp[0],1138
carNoIp[115],802
carNoIp[111],820
carNoIp[117],790
carNoIp[12],1140
carNoIp[99],881
carNoIp[17],1130
carNoIp[21],1128
carNoIp[31],1097
carNoIp[75],971
carNoIp[8],1190
carNoIp[2],1194
carNoIp[59],1043
carNoIp[55],1064
carNoIp[36],1099
carNoIp[57],1056
carNoIp[104],911
carNoIp[188],652
carNoIp[89],979
carNoIp[51],1107
carNoIp[139],834
