sender,total_sent
carNoIp[7],621
carNoIp[14],635
carNoIp[5],653
carNoIp[3],710
carNoIp[51],637
carNoIp[36],674
carNoIp[18],754
carNoIp[52],671
carNoIp[10],784
carNoIp[19],759
carNoIp[67],642
carNoIp[15],785
carNoIp[100],567
carNoIp[27],757
carNoIp[9],825
carNoIp[20],797
carNoIp[31],775
carNoIp[24],804
carNoIp[76],677
carNoIp[11],881
carNoIp[49],835
carNoIp[23],919
carNoIp[91],770
carNoIp[6],973
carNoIp[113],699
carNoIp[25],932
carNoIp[22],964
carNoIp[118],717
carNoIp[17],980
carNoIp[13],999
carNoIp[26],966
carNoIp[66],878
carNoIp[101],805
carNoIp[105],805
carNoIp[54],948
carNoIp[154],698
carNoIp[61],939
carNoIp[38],998
carNoIp[30],1033
carNoIp[43],1033
carNoIp[102],908
carNoIp[136],829
carNoIp[0],1155
carNoIp[99],935
carNoIp[8],1169
carNoIp[219],670
carNoIp[2],1199
carNoIp[55],1091
carNoIp[82],1009
carNoIp[96],991
carNoIp[32],1147
carNoIp[135],912
carNoIp[12],1216
carNoIp[39],1144
carNoIp[68],1074
carNoIp[169],839
carNoIp[112],968
carNoIp[16],1225
carNoIp[108],993
carNoIp[155],886
carNoIp[172],853
carNoIp[92],1056
carNoIp[139],946
carNoIp[111],1010
carNoIp[28],1214
carNoIp[80],1080
carNoIp[57],1160
carNoIp[95],1073
carNoIp[59],1162
carNoIp[89],1103
carNoIp[40],1213
carNoIp[127],1045
carNoIp[50],1246
carNoIp[4],1352
carNoIp[46],1254
carNoIp[159],976
carNoIp[238],795
carNoIp[47],1281
carNoIp[58],1269
carNoIp[21],1363
carNoIp[166],1009
carNoIp[137],1091
carNoIp[44],1320
carNoIp[37],1341
carNoIp[86],1241
carNoIp[78],1256
carNoIp[85],1258
carNoIp[193],991
carNoIp[117],1191
carNoIp[41],1383
carNoIp[45],1385
carNoIp[53],1381
carNoIp[97],1273
carNoIp[93],1292
carNoIp[167],1120
carNoIp[88],1331
carNoIp[142],1200
carNoIp[131],1240
carNoIp[79],1365
carNoIp[83],1368
carNoIp[63],1435
carNoIp[177],1151
carNoIp[115],1306
carNoIp[35],1511
carNoIp[148],1229
carNoIp[56],1477
carNoIp[72],1433
carNoIp[120],1321
carNoIp[209],1127
carNoIp[232],1062
carNoIp[151],1278
carNoIp[158],1254
carNoIp[272],971
carNoIp[183],1209
carNoIp[42],1553
carNoIp[107],1404
carNoIp[140],1321
carNoIp[187],1219
carNoIp[71],1512
carNoIp[64],1539
carNoIp[103],1461
carNoIp[335],899
carNoIp[129],1412
carNoIp[171],1317
carNoIp[130],1418
carNoIp[199],1235
carNoIp[200],1231
carNoIp[98],1520
carNoIp[69],1585
carNoIp[289],1055
carNoIp[87],1557
carNoIp[73],1586
carNoIp[109],1513
carNoIp[106],1528
carNoIp[306],1032
carNoIp[77],1602
carNoIp[161],1402
carNoIp[221],1268
carNoIp[126],1512
carNoIp[165],1415
carNoIp[173],1403
carNoIp[141],1481
carNoIp[134],1511
carNoIp[65],1677
carNoIp[84],1631
carNoIp[125],1577
carNoIp[214],1367
carNoIp[246],1290
carNoIp[124],1596
carNoIp[333],1102
carNoIp[163],1527
carNoIp[262],1295
carNoIp[175],1534
carNoIp[160],1555
carNoIp[147],1608
carNoIp[152],1599
carNoIp[251],1378
carNoIp[48],1891
carNoIp[149],1631
carNoIp[308],1236
carNoIp[176],1582
carNoIp[156],1649
carNoIp[192],1572
carNoIp[240],1465
carNoIp[331],1266
carNoIp[216],1552
carNoIp[211],1584
carNoIp[256],1464
carNoIp[267],1466
carNoIp[355],1247
carNoIp[90],1921
carNoIp[255],1517
carNoIp[245],1545
carNoIp[94],1932
carNoIp[174],1733
carNoIp[29],2094
carNoIp[315],1386
carNoIp[146],1809
carNoIp[314],1387
carNoIp[34],2101
carNoIp[206],1691
carNoIp[138],1868
carNoIp[194],1727
carNoIp[304],1454
carNoIp[305],1455
carNoIp[287],1509
carNoIp[317],1443
carNoIp[205],1734
carNoIp[326],1438
carNoIp[218],1713
carNoIp[257],1615
carNoIp[310],1491
carNoIp[293],1542
carNoIp[1],2253
carNoIp[298],1535
carNoIp[33],2192
carNoIp[269],1620
carNoIp[397],1310
carNoIp[278],1615
carNoIp[197],1826
carNoIp[413],1314
carNoIp[237],1740
carNoIp[243],1730
carNoIp[128],2031
carNoIp[223],1809
carNoIp[75],2177
carNoIp[299],1637
carNoIp[143],2030
carNoIp[60],2236
carNoIp[247],1777
carNoIp[122],2082
carNoIp[275],1712
carNoIp[300],1659
carNoIp[188],1935
carNoIp[196],1922
carNoIp[259],1787
carNoIp[380],1476
carNoIp[329],1618
carNoIp[212],1911
carNoIp[291],1726
carNoIp[439],1346
carNoIp[236],1850
carNoIp[427],1390
carNoIp[322],1642
carNoIp[372],1541
carNoIp[312],1684
carNoIp[348],1605
carNoIp[411],1474
carNoIp[296],1749
carNoIp[280],1787
carNoIp[201],2019
carNoIp[250],1943
