sender,total_sent
carNoIp[7],629
carNoIp[5],661
carNoIp[14],661
carNoIp[45],629
carNoIp[38],676
carNoIp[3],727
carNoIp[44],677
carNoIp[22],720
carNoIp[62],684
carNoIp[18],753
carNoIp[116],629
carNoIp[19],774
carNoIp[71],709
carNoIp[139],638
carNoIp[0],803
carNoIp[1],803
carNoIp[2],803
carNoIp[4],803
carNoIp[6],803
carNoIp[8],803
carNoIp[9],803
carNoIp[10],803
carNoIp[11],803
carNoIp[12],796
carNoIp[13],796
carNoIp[15],796
carNoIp[16],790
carNoIp[17],790
carNoIp[20],784
carNoIp[21],784
carNoIp[23],784
carNoIp[24],778
carNoIp[25],778
carNoIp[26],778
carNoIp[27],778
carNoIp[28],771
carNoIp[29],771
carNoIp[30],771
carNoIp[31],771
carNoIp[32],765
carNoIp[33],765
carNoIp[34],765
carNoIp[35],765
carNoIp[36],759
carNoIp[37],759
carNoIp[39],759
carNoIp[40],753
carNoIp[41],753
carNoIp[42],753
carNoIp[43],753
carNoIp[46],753
carNoIp[47],753
carNoIp[48],753
carNoIp[49],753
carNoIp[50],753
carNoIp[51],753
carNoIp[52],747
carNoIp[53],747
carNoIp[54],747
carNoIp[55],747
carNoIp[56],740
carNoIp[57],740
carNoIp[58],740
carNoIp[59],740
carNoIp[60],734
carNoIp[61],734
carNoIp[63],734
carNoIp[64],728
carNoIp[65],728
carNoIp[66],728
carNoIp[67],728
carNoIp[68],722
carNoIp[69],722
carNoIp[70],722
carNoIp[72],715
carNoIp[73],715
carNoIp[74],715
carNoIp[75],715
carNoIp[76],709
carNoIp[77],709
carNoIp[78],709
carNoIp[79],709
carNoIp[80],703
carNoIp[81],703
carNoIp[82],703
carNoIp[83],703
carNoIp[84],703
carNoIp[85],703
carNoIp[86],703
carNoIp[87],703
carNoIp[88],703
carNoIp[89],703
carNoIp[90],703
carNoIp[91],703
carNoIp[92],697
carNoIp[93],697
carNoIp[94],697
carNoIp[95],697
carNoIp[96],691
carNoIp[97],691
carNoIp[98],691
carNoIp[99],691
carNoIp[100],684
carNoIp[101],684
carNoIp[102],684
carNoIp[103],684
carNoIp[104],678
carNoIp[105],678
carNoIp[106],678
carNoIp[107],678
carNoIp[108],672
carNoIp[109],672
carNoIp[110],672
carNoIp[111],672
carNoIp[112],666
carNoIp[113],666
carNoIp[114],666
carNoIp[115],666
carNoIp[117],659
carNoIp[118],659
carNoIp[119],659
carNoIp[120],653
carNoIp[121],653
carNoIp[122],653
carNoIp[123],653
carNoIp[124],653
carNoIp[125],653
carNoIp[126],653
carNoIp[127],653
carNoIp[128],653
carNoIp[129],653
carNoIp[130],653
carNoIp[131],653
carNoIp[132],647
carNoIp[133],647
carNoIp[134],647
carNoIp[135],647
carNoIp[136],641
carNoIp[137],641
carNoIp[138],641
carNoIp[140],635
carNoIp[141],635
carNoIp[142],635
carNoIp[143],635
carNoIp[144],628
carNoIp[145],628
carNoIp[146],628
carNoIp[147],628
carNoIp[148],622
carNoIp[149],622
carNoIp[150],622
carNoIp[151],622
carNoIp[152],616
carNoIp[153],616
carNoIp[154],616
carNoIp[155],616
carNoIp[156],610
carNoIp[157],610
carNoIp[158],610
carNoIp[159],610
carNoIp[160],604
carNoIp[161],604
carNoIp[162],604
carNoIp[163],604
carNoIp[164],604
carNoIp[165],604
carNoIp[166],604
carNoIp[167],604
carNoIp[168],603
carNoIp[169],603
carNoIp[170],603
carNoIp[171],603
carNoIp[172],597
carNoIp[173],597
carNoIp[174],597
carNoIp[175],597
carNoIp[176],591
carNoIp[177],591
carNoIp[178],591
carNoIp[179],591
carNoIp[180],585
carNoIp[181],585
carNoIp[182],585
carNoIp[183],585
carNoIp[184],579
carNoIp[185],579
carNoIp[186],579
carNoIp[187],579
carNoIp[188],572
carNoIp[189],572
carNoIp[190],572
carNoIp[191],572
carNoIp[192],566
carNoIp[193],566
carNoIp[194],566
carNoIp[195],566
carNoIp[196],560
carNoIp[197],560
carNoIp[198],560
carNoIp[199],560
carNoIp[200],554
carNoIp[201],554
carNoIp[202],554
carNoIp[203],554
carNoIp[204],554
carNoIp[205],554
carNoIp[206],554
carNoIp[207],554
carNoIp[208],554
carNoIp[209],554
carNoIp[210],554
carNoIp[211],554
carNoIp[212],547
carNoIp[213],547
carNoIp[214],547
carNoIp[215],547
carNoIp[216],541
carNoIp[217],541
carNoIp[218],541
carNoIp[219],541
carNoIp[220],535
carNoIp[221],535
carNoIp[222],535
carNoIp[223],535
carNoIp[224],529
carNoIp[225],529
carNoIp[226],529
carNoIp[227],529
carNoIp[228],523
carNoIp[229],523
carNoIp[230],523
carNoIp[231],523
carNoIp[232],516
carNoIp[233],516
carNoIp[234],516
carNoIp[235],516
carNoIp[236],510
carNoIp[237],510
carNoIp[238],510
carNoIp[239],510
carNoIp[240],504
carNoIp[241],504
carNoIp[242],504
carNoIp[243],504
carNoIp[244],504
carNoIp[245],504
carNoIp[246],504
carNoIp[247],504
carNoIp[248],504
carNoIp[249],504
carNoIp[250],504
carNoIp[251],504
carNoIp[252],498
carNoIp[253],498
carNoIp[254],498
carNoIp[255],498
carNoIp[256],492
carNoIp[257],492
carNoIp[258],492
carNoIp[259],492
carNoIp[260],485
carNoIp[261],485
carNoIp[262],485
carNoIp[263],485
carNoIp[264],479
carNoIp[265],479
carNoIp[266],479
carNoIp[267],479
carNoIp[268],473
carNoIp[269],473
carNoIp[270],473
carNoIp[271],473
carNoIp[272],467
carNoIp[273],467
carNoIp[274],467
carNoIp[275],467
carNoIp[276],460
carNoIp[277],460
carNoIp[278],460
carNoIp[279],460
carNoIp[280],454
carNoIp[281],454
carNoIp[282],454
carNoIp[283],454
carNoIp[284],454
carNoIp[285],454
carNoIp[286],454
carNoIp[287],454
carNoIp[288],454
carNoIp[289],454
carNoIp[290],454
carNoIp[291],454
carNoIp[292],448
carNoIp[293],448
carNoIp[294],448
carNoIp[295],448
carNoIp[296],442
carNoIp[297],442
carNoIp[298],442
carNoIp[299],442
carNoIp[300],436
carNoIp[301],436
carNoIp[302],436
carNoIp[303],436
carNoIp[304],429
carNoIp[305],429
carNoIp[306],429
carNoIp[307],429
carNoIp[308],423
carNoIp[309],423
carNoIp[310],423
carNoIp[311],423
carNoIp[312],417
carNoIp[313],417
carNoIp[314],417
carNoIp[315],417
carNoIp[316],411
carNoIp[317],411
carNoIp[318],411
carNoIp[319],411
carNoIp[320],405
carNoIp[321],405
carNoIp[322],405
carNoIp[323],405
carNoIp[324],405
carNoIp[325],405
carNoIp[326],405
carNoIp[327],405
carNoIp[328],404
carNoIp[329],404
carNoIp[330],404
carNoIp[331],404
carNoIp[332],398
carNoIp[333],398
carNoIp[334],398
carNoIp[335],398
carNoIp[336],392
carNoIp[337],392
carNoIp[338],392
carNoIp[339],392
carNoIp[340],386
carNoIp[341],386
carNoIp[342],386
carNoIp[343],386
carNoIp[344],380
carNoIp[345],380
carNoIp[346],380
