sender,total_sent
carNoIp[7],629
carNoIp[5],661
carNoIp[14],661
carNoIp[45],629
carNoIp[38],676
carNoIp[3],727
carNoIp[44],677
carNoIp[22],720
carNoIp[62],684
carNoIp[18],753
carNoIp[116],629
carNoIp[19],774
carNoIp[71],709
carNoIp[139],638
carNoIp[135],648
carNoIp[96],694
carNoIp[120],660
carNoIp[89],729
carNoIp[76],738
carNoIp[51],787
carNoIp[64],767
carNoIp[60],776
carNoIp[82],756
carNoIp[112],749
carNoIp[11],914
carNoIp[42],870
carNoIp[56],859
carNoIp[39],896
carNoIp[97],835
carNoIp[46],901
carNoIp[23],946
carNoIp[50],921
carNoIp[121],823
carNoIp[150],799
carNoIp[154],797
carNoIp[146],823
carNoIp[190],769
carNoIp[94],905
carNoIp[66],950
carNoIp[164],833
carNoIp[86],958
carNoIp[61],995
carNoIp[6],1066
carNoIp[185],842
carNoIp[65],1003
carNoIp[169],887
carNoIp[301],723
carNoIp[233],815
carNoIp[313],729
carNoIp[93],1011
carNoIp[123],973
carNoIp[88],1026
carNoIp[109],1002
carNoIp[27],1118
carNoIp[228],871
carNoIp[15],1148
carNoIp[104],1037
carNoIp[177],952
carNoIp[160],976
carNoIp[92],1070
carNoIp[212],936
carNoIp[156],1000
carNoIp[211],944
carNoIp[57],1137
carNoIp[32],1168
carNoIp[188],978
carNoIp[49],1167
carNoIp[24],1196
carNoIp[68],1143
carNoIp[0],1227
carNoIp[20],1215
carNoIp[251],935
carNoIp[191],1016
carNoIp[196],1012
carNoIp[91],1164
carNoIp[158],1071
carNoIp[184],1044
carNoIp[2],1272
carNoIp[320],874
carNoIp[332],912
carNoIp[10],1324
carNoIp[179],1128
carNoIp[159],1149
carNoIp[238],1052
carNoIp[119],1208
carNoIp[205],1104
carNoIp[126],1228
