sender,total_sent
carNoIp[7],634
carNoIp[5],653
carNoIp[14],634
carNoIp[3],714
carNoIp[24],608
carNoIp[20],653
carNoIp[19],711
carNoIp[10],803
carNoIp[15],779
carNoIp[18],752
carNoIp[9],826
carNoIp[11],879
carNoIp[28],733
carNoIp[6],938
carNoIp[4],943
carNoIp[37],739
carNoIp[65],597
carNoIp[21],890
carNoIp[22],915
carNoIp[13],981
carNoIp[29],866
carNoIp[41],786
carNoIp[73],605
carNoIp[25],924
carNoIp[46],801
carNoIp[47],802
carNoIp[17],989
carNoIp[33],898
carNoIp[61],776
carNoIp[38],917
carNoIp[12],1111
carNoIp[27],1020
carNoIp[0],1153
carNoIp[35],969
carNoIp[8],1170
carNoIp[60],830
carNoIp[2],1183
carNoIp[92],658
carNoIp[36],979
carNoIp[16],1138
carNoIp[88],717
carNoIp[91],719
carNoIp[75],787
carNoIp[39],1016
carNoIp[96],674
carNoIp[107],615
carNoIp[31],1092
carNoIp[67],876
carNoIp[51],1005
carNoIp[79],793
carNoIp[42],1017
carNoIp[71],874
carNoIp[76],836
carNoIp[49],1061
carNoIp[87],821
carNoIp[52],1040
carNoIp[59],1010
carNoIp[26],1219
carNoIp[50],1103
carNoIp[84],860
carNoIp[53],1089
carNoIp[97],815
carNoIp[23],1283
carNoIp[105],767
carNoIp[45],1155
carNoIp[113],733
carNoIp[83],924
carNoIp[54],1153
carNoIp[102],842
carNoIp[70],1041
carNoIp[62],1105
carNoIp[1],1454
carNoIp[58],1149
carNoIp[98],901
carNoIp[78],1008
carNoIp[44],1232
carNoIp[77],1027
carNoIp[101],916
carNoIp[93],980
carNoIp[43],1275
carNoIp[63],1209
carNoIp[55],1272
carNoIp[57],1251
carNoIp[95],1036
carNoIp[131],819
