sender,total_sent
carNoIp[7],634
carNoIp[5],653
carNoIp[14],634
carNoIp[3],714
carNoIp[24],608
carNoIp[20],653
carNoIp[19],711
carNoIp[10],803
carNoIp[15],779
carNoIp[18],752
carNoIp[9],826
carNoIp[11],879
carNoIp[28],733
carNoIp[6],938
carNoIp[4],943
carNoIp[37],739
carNoIp[65],597
carNoIp[21],890
carNoIp[22],915
carNoIp[13],981
carNoIp[29],866
carNoIp[41],786
carNoIp[73],605
carNoIp[25],924
carNoIp[46],801
carNoIp[47],802
carNoIp[17],989
carNoIp[33],898
carNoIp[61],776
carNoIp[38],917
carNoIp[12],1111
carNoIp[27],1020
carNoIp[0],1153
carNoIp[35],969
carNoIp[8],1170
carNoIp[60],830
carNoIp[2],1183
carNoIp[92],658
carNoIp[36],979
carNoIp[16],1138
carNoIp[88],717
carNoIp[91],719
carNoIp[75],787
carNoIp[39],1016
carNoIp[96],674
carNoIp[107],615
carNoIp[31],1092
carNoIp[67],876
carNoIp[51],1005
carNoIp[79],793
carNoIp[42],1017
carNoIp[71],874
carNoIp[76],836
carNoIp[49],1061
carNoIp[87],821
carNoIp[52],1040
carNoIp[59],1010
carNoIp[26],1219
carNoIp[50],1103
carNoIp[84],860
carNoIp[53],1089
carNoIp[97],815
carNoIp[23],1283
carNoIp[105],767
carNoIp[45],1155
carNoIp[113],733
carNoIp[83],924
carNoIp[54],1153
carNoIp[102],842
carNoIp[70],1041
carNoIp[62],1105
carNoIp[1],1454
carNoIp[58],1149
carNoIp[98],901
carNoIp[78],1008
carNoIp[44],1232
carNoIp[77],1027
carNoIp[101],916
carNoIp[93],980
carNoIp[43],1275
carNoIp[63],1209
carNoIp[55],1272
carNoIp[57],1251
carNoIp[95],1036
carNoIp[131],819
carNoIp[135],814
carNoIp[48],1349
carNoIp[72],1174
carNoIp[32],1424
carNoIp[56],1314
carNoIp[155],698
carNoIp[40],1384
carNoIp[108],980
carNoIp[99],1078
carNoIp[112],954
carNoIp[80],1146
carNoIp[147],773
carNoIp[104],1025
carNoIp[120],912
carNoIp[143],817
carNoIp[128],929
carNoIp[103],1090
carNoIp[64],1325
carNoIp[127],954
carNoIp[68],1301
carNoIp[81],1216
carNoIp[86],1242
carNoIp[109],1090
carNoIp[110],1092
carNoIp[69],1351
carNoIp[94],1230
carNoIp[30],1607
carNoIp[123],1028
carNoIp[66],1403
carNoIp[181],700
carNoIp[34],1609
carNoIp[90],1308
carNoIp[106],1189
carNoIp[118],1103
carNoIp[150],934
carNoIp[74],1404
carNoIp[124],1099
carNoIp[133],1074
carNoIp[130],1110
carNoIp[137],1054
carNoIp[89],1381
carNoIp[142],1044
carNoIp[117],1177
carNoIp[129],1160
carNoIp[85],1433
carNoIp[149],1030
carNoIp[144],1074
carNoIp[116],1243
carNoIp[171],965
carNoIp[136],1155
carNoIp[100],1382
carNoIp[207],731
carNoIp[122],1231
carNoIp[180],889
carNoIp[152],1054
carNoIp[139],1191
carNoIp[176],973
carNoIp[219],726
carNoIp[148],1134
carNoIp[159],1073
carNoIp[216],738
carNoIp[160],1055
carNoIp[220],713
carNoIp[199],838
carNoIp[195],878
carNoIp[215],792
carNoIp[156],1113
carNoIp[212],834
carNoIp[121],1366
carNoIp[126],1378
carNoIp[141],1305
carNoIp[114],1471
carNoIp[170],1169
carNoIp[154],1236
carNoIp[134],1400
carNoIp[204],948
carNoIp[193],1012
carNoIp[182],1111
carNoIp[169],1209
carNoIp[178],1171
carNoIp[164],1244
carNoIp[163],1248
carNoIp[194],1071
carNoIp[145],1394
carNoIp[177],1213
carNoIp[198],1063
carNoIp[214],1014
carNoIp[273],620
carNoIp[269],664
carNoIp[82],1828
carNoIp[157],1362
carNoIp[197],1133
carNoIp[115],1664
carNoIp[125],1604
carNoIp[168],1361
carNoIp[111],1707
carNoIp[224],995
carNoIp[140],1530
carNoIp[119],1658
carNoIp[132],1600
carNoIp[191],1237
carNoIp[196],1184
carNoIp[192],1229
carNoIp[183],1326
carNoIp[184],1296
carNoIp[167],1426
carNoIp[158],1461
carNoIp[151],1525
carNoIp[268],779
carNoIp[175],1405
carNoIp[247],947
carNoIp[211],1196
carNoIp[223],1107
carNoIp[235],1023
carNoIp[179],1399
carNoIp[200],1221
carNoIp[287],745
carNoIp[187],1387
carNoIp[161],1516
carNoIp[236],1056
carNoIp[166],1529
carNoIp[232],1107
carNoIp[153],1613
carNoIp[138],1750
carNoIp[217],1255
carNoIp[229],1161
carNoIp[230],1169
carNoIp[222],1235
carNoIp[284],848
carNoIp[260],1002
carNoIp[225],1225
carNoIp[210],1371
carNoIp[203],1380
carNoIp[258],1072
carNoIp[186],1509
carNoIp[146],1771
carNoIp[174],1629
carNoIp[250],1167
carNoIp[218],1364
carNoIp[237],1210
carNoIp[226],1313
carNoIp[213],1408
carNoIp[238],1221
carNoIp[233],1254
carNoIp[270],1047
carNoIp[243],1208
carNoIp[265],1081
carNoIp[289],969
carNoIp[165],1726
carNoIp[261],1155
carNoIp[172],1720
carNoIp[188],1609
carNoIp[234],1331
carNoIp[162],1792
carNoIp[244],1306
carNoIp[256],1241
carNoIp[240],1308
carNoIp[264],1181
carNoIp[231],1400
carNoIp[276],1099
carNoIp[239],1348
carNoIp[228],1412
carNoIp[227],1445
carNoIp[208],1579
carNoIp[255],1299
carNoIp[252],1301
carNoIp[259],1273
carNoIp[292],1063
carNoIp[263],1251
carNoIp[275],1162
carNoIp[320],862
carNoIp[335],841
carNoIp[327],903
carNoIp[291],1151
carNoIp[300],1086
carNoIp[201],1682
carNoIp[206],1686
carNoIp[288],1187
carNoIp[306],1079
carNoIp[189],1803
carNoIp[283],1239
carNoIp[305],1117
carNoIp[190],1833
carNoIp[173],1964
carNoIp[185],1870
carNoIp[202],1748
carNoIp[205],1748
carNoIp[209],1746
carNoIp[221],1653
carNoIp[241],1500
carNoIp[242],1500
carNoIp[245],1500
carNoIp[246],1500
carNoIp[248],1497
carNoIp[249],1497
carNoIp[251],1497
carNoIp[253],1466
carNoIp[254],1466
carNoIp[257],1435
carNoIp[262],1404
carNoIp[266],1373
carNoIp[267],1373
carNoIp[271],1342
carNoIp[272],1311
carNoIp[274],1311
carNoIp[277],1280
carNoIp[278],1280
carNoIp[279],1280
carNoIp[280],1252
carNoIp[281],1252
carNoIp[282],1252
carNoIp[285],1252
carNoIp[286],1252
carNoIp[290],1248
carNoIp[293],1217
carNoIp[294],1217
carNoIp[295],1217
carNoIp[296],1186
carNoIp[297],1186
carNoIp[298],1186
carNoIp[299],1186
carNoIp[301],1155
carNoIp[302],1155
carNoIp[303],1155
carNoIp[304],1124
carNoIp[307],1124
carNoIp[308],1093
carNoIp[309],1093
carNoIp[310],1093
carNoIp[311],1093
carNoIp[312],1062
carNoIp[313],1062
carNoIp[314],1062
carNoIp[315],1062
carNoIp[316],1031
carNoIp[317],1031
carNoIp[318],1031
carNoIp[319],1031
carNoIp[321],1003
carNoIp[322],1003
carNoIp[323],1003
carNoIp[324],1003
carNoIp[325],1003
carNoIp[326],1003
carNoIp[328],1000
carNoIp[329],1000
carNoIp[330],1000
carNoIp[331],1000
carNoIp[332],969
carNoIp[333],969
carNoIp[334],969
carNoIp[336],938
carNoIp[337],938
carNoIp[338],938
carNoIp[339],938
carNoIp[340],906
carNoIp[341],906
carNoIp[342],906
carNoIp[343],906
carNoIp[344],875
carNoIp[345],875
carNoIp[346],875
carNoIp[347],875
carNoIp[348],844
carNoIp[349],844
carNoIp[350],844
carNoIp[351],844
carNoIp[352],813
carNoIp[353],813
carNoIp[354],813
carNoIp[355],813
carNoIp[356],782
carNoIp[357],782
carNoIp[358],782
carNoIp[359],782
carNoIp[360],755
carNoIp[361],755
carNoIp[362],755
carNoIp[363],755
carNoIp[364],755
carNoIp[365],755
carNoIp[366],755
carNoIp[367],755
carNoIp[368],751
carNoIp[369],751
carNoIp[370],751
carNoIp[371],751
carNoIp[372],720
carNoIp[373],720
carNoIp[374],720
carNoIp[375],720
carNoIp[376],689
carNoIp[377],689
carNoIp[378],689
carNoIp[379],689
carNoIp[380],658
carNoIp[381],658
carNoIp[382],658
carNoIp[383],658
carNoIp[384],627
carNoIp[385],627
carNoIp[386],627
carNoIp[387],627
carNoIp[388],596
carNoIp[389],596
carNoIp[390],596
carNoIp[391],596
carNoIp[392],564
carNoIp[393],564
carNoIp[394],564
carNoIp[395],564
carNoIp[396],533
carNoIp[397],533
carNoIp[398],533
carNoIp[399],533
carNoIp[400],507
carNoIp[401],507
carNoIp[402],507
carNoIp[403],507
carNoIp[404],507
carNoIp[405],507
carNoIp[406],507
carNoIp[407],507
carNoIp[408],502
carNoIp[409],502
carNoIp[410],502
carNoIp[411],502
carNoIp[412],471
carNoIp[413],471
carNoIp[414],471
carNoIp[415],471
carNoIp[416],440
carNoIp[417],440
carNoIp[418],440
carNoIp[419],440
carNoIp[420],409
carNoIp[421],409
carNoIp[422],409
carNoIp[423],409
carNoIp[424],378
carNoIp[425],378
carNoIp[426],378
carNoIp[427],378
carNoIp[428],347
carNoIp[429],347
carNoIp[430],347
carNoIp[431],347
carNoIp[432],316
carNoIp[433],316
carNoIp[434],316
carNoIp[435],316
carNoIp[436],285
carNoIp[437],285
carNoIp[438],285
carNoIp[439],285
carNoIp[440],258
carNoIp[441],258
carNoIp[442],258
carNoIp[443],258
carNoIp[444],258
carNoIp[445],258
carNoIp[446],258
carNoIp[447],258
carNoIp[448],254
carNoIp[449],254
carNoIp[450],254
carNoIp[451],254
carNoIp[452],222
carNoIp[453],222
carNoIp[454],222
carNoIp[455],222
carNoIp[456],191
carNoIp[457],191
carNoIp[458],191
carNoIp[459],191
carNoIp[460],160
carNoIp[461],160
carNoIp[462],160
carNoIp[463],160
carNoIp[464],129
carNoIp[465],129
carNoIp[466],129
carNoIp[467],129
carNoIp[468],98
carNoIp[469],98
carNoIp[470],98
carNoIp[471],98
carNoIp[472],67
carNoIp[473],67
carNoIp[474],67
carNoIp[475],67
carNoIp[476],36
carNoIp[477],36
carNoIp[478],36
carNoIp[479],36
carNoIp[480],10
carNoIp[481],10
carNoIp[482],10
carNoIp[483],10
carNoIp[484],10
carNoIp[485],10
carNoIp[486],10
carNoIp[487],10
carNoIp[488],5
carNoIp[489],5
carNoIp[490],5
carNoIp[491],5
