sender,total_sent
carNoIp[7],621
carNoIp[5],652
carNoIp[14],632
carNoIp[3],710
carNoIp[24],670
carNoIp[28],654
carNoIp[19],733
carNoIp[18],752
carNoIp[15],775
carNoIp[10],815
carNoIp[9],825
carNoIp[20],783
carNoIp[32],735
carNoIp[50],694
carNoIp[11],881
carNoIp[35],756
carNoIp[36],753
carNoIp[59],709
carNoIp[42],773
carNoIp[4],943
carNoIp[65],695
carNoIp[6],951
carNoIp[37],818
carNoIp[22],939
carNoIp[38],861
carNoIp[102],658
carNoIp[61],834
carNoIp[33],943
carNoIp[126],576
carNoIp[25],993
carNoIp[13],1061
carNoIp[62],855
carNoIp[21],1026
carNoIp[29],996
carNoIp[17],1062
carNoIp[86],777
carNoIp[43],950
carNoIp[79],833
carNoIp[12],1125
carNoIp[27],1065
carNoIp[0],1153
carNoIp[75],868
carNoIp[31],1058
carNoIp[111],737
carNoIp[99],802
carNoIp[16],1141
carNoIp[115],730
carNoIp[8],1189
carNoIp[89],889
carNoIp[55],1043
carNoIp[95],882
carNoIp[72],952
carNoIp[119],767
carNoIp[129],750
carNoIp[64],1004
carNoIp[76],946
carNoIp[80],935
carNoIp[51],1109
carNoIp[91],955
carNoIp[104],873
carNoIp[39],1150
carNoIp[40],1133
carNoIp[96],933
carNoIp[90],993
carNoIp[46],1174
carNoIp[47],1218
carNoIp[93],1031
carNoIp[58],1183
carNoIp[30],1293
carNoIp[77],1087
carNoIp[44],1237
carNoIp[98],1031
carNoIp[23],1348
carNoIp[26],1328
carNoIp[73],1122
carNoIp[94],1064
carNoIp[97],1053
carNoIp[69],1170
carNoIp[85],1109
carNoIp[54],1264
carNoIp[117],977
carNoIp[66],1213
carNoIp[138],925
carNoIp[41],1299
carNoIp[105],1053
carNoIp[45],1304
carNoIp[146],897
carNoIp[101],1085
carNoIp[113],1033
carNoIp[145],913
carNoIp[208],666
carNoIp[74],1212
carNoIp[137],963
carNoIp[53],1319
carNoIp[161],872
carNoIp[83],1224
carNoIp[131],1058
carNoIp[2],1568
carNoIp[48],1414
carNoIp[68],1312
carNoIp[71],1318
carNoIp[49],1426
carNoIp[82],1261
carNoIp[144],1015
carNoIp[63],1374
