sender,total_sent
carNoIp[7],623
carNoIp[14],635
carNoIp[5],652
carNoIp[3],693
carNoIp[28],659
carNoIp[56],597
carNoIp[63],592
carNoIp[19],743
carNoIp[18],753
carNoIp[10],795
carNoIp[27],741
carNoIp[15],800
carNoIp[9],830
carNoIp[24],790
carNoIp[20],816
carNoIp[76],642
carNoIp[32],783
carNoIp[11],886
carNoIp[92],624
carNoIp[52],786
carNoIp[4],943
carNoIp[23],914
carNoIp[25],909
carNoIp[6],1001
carNoIp[38],896
carNoIp[22],959
carNoIp[85],761
carNoIp[44],887
carNoIp[97],734
carNoIp[78],785
carNoIp[70],817
carNoIp[58],876
carNoIp[45],915
carNoIp[33],959
carNoIp[101],759
carNoIp[86],810
carNoIp[30],982
carNoIp[53],927
carNoIp[13],1064
carNoIp[37],971
carNoIp[65],906
carNoIp[26],1039
carNoIp[77],871
carNoIp[69],904
carNoIp[29],1043
carNoIp[157],653
carNoIp[0],1138
carNoIp[115],802
carNoIp[111],820
carNoIp[117],790
carNoIp[12],1140
carNoIp[99],881
carNoIp[17],1130
carNoIp[21],1128
carNoIp[31],1097
carNoIp[75],971
carNoIp[8],1190
carNoIp[2],1194
carNoIp[59],1043
carNoIp[55],1064
carNoIp[36],1099
carNoIp[57],1056
carNoIp[104],911
carNoIp[188],652
carNoIp[89],979
carNoIp[51],1107
carNoIp[139],834
carNoIp[156],765
carNoIp[64],1066
carNoIp[175],742
carNoIp[192],670
carNoIp[140],846
carNoIp[42],1156
carNoIp[90],1077
carNoIp[103],1030
carNoIp[40],1215
carNoIp[91],1094
carNoIp[96],1066
carNoIp[137],952
carNoIp[93],1095
carNoIp[84],1125
carNoIp[47],1256
carNoIp[87],1133
carNoIp[105],1077
carNoIp[62],1224
carNoIp[46],1276
carNoIp[73],1184
carNoIp[102],1112
carNoIp[94],1144
carNoIp[125],1040
carNoIp[110],1094
carNoIp[118],1064
carNoIp[163],925
carNoIp[74],1226
carNoIp[54],1305
carNoIp[113],1105
carNoIp[198],850
carNoIp[41],1341
carNoIp[210],854
carNoIp[164],986
carNoIp[126],1131
carNoIp[182],961
carNoIp[43],1392
carNoIp[61],1378
carNoIp[16],1519
carNoIp[169],1053
carNoIp[141],1143
carNoIp[100],1271
carNoIp[289],698
carNoIp[71],1386
carNoIp[80],1340
carNoIp[48],1465
carNoIp[208],968
carNoIp[60],1432
carNoIp[228],912
carNoIp[39],1523
carNoIp[132],1247
carNoIp[67],1457
carNoIp[131],1273
carNoIp[135],1257
carNoIp[108],1320
carNoIp[120],1282
carNoIp[119],1299
carNoIp[251],912
carNoIp[129],1297
carNoIp[143],1251
carNoIp[160],1181
carNoIp[179],1155
carNoIp[130],1344
carNoIp[159],1260
carNoIp[34],1657
carNoIp[106],1442
carNoIp[194],1174
carNoIp[150],1328
carNoIp[174],1266
carNoIp[167],1291
carNoIp[114],1451
carNoIp[170],1305
carNoIp[203],1182
carNoIp[134],1418
carNoIp[142],1439
carNoIp[222],1191
carNoIp[1],1864
carNoIp[138],1468
carNoIp[250],1127
carNoIp[257],1101
carNoIp[197],1275
carNoIp[226],1202
carNoIp[204],1266
carNoIp[214],1250
carNoIp[185],1332
