direction,rsu,vehicle,sender,receiver,packets_received,min_msgId,max_msgId,packets_expected,mean_distance_m,median_distance_m,min_distance_m,max_distance_m,mean_delay_ms,median_delay_ms,simulation_duration_s,pdr_overall,pdr_sliding_window
V2I,rsu[0],carNoIp[186],carNoIp[186],rsu[0],750,0,749,750,96.52240000000064,52.499500000000005,30.22,289.113,53.425333333333334,45.0,74.928,100.0,100.0
V2I,rsu[0],carNoIp[202],carNoIp[202],rsu[0],501,0,500,501,79.40720359281461,45.36,27.066999999999997,245.764,46.840319361277444,43.0,50.053000000000026,100.0,100.0
V2I,rsu[0],carNoIp[207],carNoIp[207],rsu[0],489,0,488,489,74.16754396728031,29.750999999999998,20.81,230.47,54.92638036809816,56.0,48.759000000000015,100.0,100.0
V2I,rsu[0],carNoIp[208],carNoIp[208],rsu[0],489,0,488,489,96.20955419222925,57.994,44.423,291.757,40.826175869120654,44.0,48.78800000000001,100.0,100.0
V2I,rsu[0],carNoIp[217],carNoIp[217],rsu[0],377,0,376,377,103.20914323607424,87.764,23.929000000000002,286.54900000000004,45.785145888594165,51.0,37.60300000000001,100.0,100.0
V2I,rsu[0],carNoIp[218],carNoIp[218],rsu[0],377,0,376,377,124.16577984084884,93.98,27.066999999999997,286.217,43.88063660477454,48.0,37.615999999999985,100.0,100.0
V2I,rsu[0],carNoIp[222],carNoIp[222],rsu[0],315,0,314,315,152.973707936508,123.084,27.066,327.88699999999994,43.33015873015873,55.0,31.369000000000028,100.0,100.0
V2I,rsu[0],carNoIp[223],carNoIp[223],rsu[0],315,0,314,315,55.70423492063488,33.135,30.217,144.808,43.31428571428572,18.0,31.418999999999983,100.0,100.0
V2I,rsu[0],carNoIp[227],carNoIp[227],rsu[0],253,0,252,253,118.65356126482207,94.77,27.101999999999997,260.772,62.07509881422925,73.0,25.19399999999996,100.0,100.0
V2I,rsu[0],carNoIp[230],carNoIp[230],rsu[0],190,0,189,190,172.24642631578948,179.15300000000002,45.36,286.324,32.49473684210526,31.0,18.882000000000005,100.0,100.0
V2I,rsu[0],carNoIp[233],carNoIp[233],rsu[0],128,0,127,128,168.70942187499998,180.68,63.086000000000006,233.709,81.25,90.0,12.680000000000007,100.0,100.0
V2I,rsu[0],carNoIp[234],carNoIp[234],rsu[0],128,0,127,128,239.50471875000002,248.71699999999998,146.059,301.35200000000003,68.9375,54.0,12.736999999999966,100.0,100.0
V2I,rsu[0],carNoIp[238],carNoIp[238],rsu[0],66,0,65,66,334.7054696969698,338.22749999999996,300.939,354.999,62.63636363636363,51.0,6.451999999999998,100.0,100.0
V2I,rsu[0],carNoIp[242],carNoIp[242],rsu[0],4,0,3,4,201.4525,201.4625,201.06900000000002,201.81599999999997,93.0,93.0,0.30000000000001137,100.0,0.0
V2I,rsu[0],carNoIp[243],carNoIp[243],rsu[0],3,0,2,3,394.58633333333336,394.594,394.352,394.81300000000005,58.0,58.0,0.19999999999998863,100.0,0.0
V2I,rsu[0],carNoIp[181],carNoIp[181],rsu[0],789,10,811,802,132.1926641318115,46.733999999999995,23.928,488.346,50.040557667934095,63.0,80.13900000000001,98.3790523690773,100.0
V2I,rsu[0],carNoIp[200],carNoIp[200],rsu[0],492,0,500,501,224.04773373983755,222.474,23.934,511.176,64.9369918699187,79.0,50.01799999999997,98.20359281437125,100.0
V2I,rsu[0],carNoIp[210],carNoIp[210],rsu[0],473,5,488,484,177.596479915435,99.73,27.07,506.589,21.403805496828753,18.0,48.292,97.72727272727273,100.0
V2I,rsu[0],carNoIp[198],carNoIp[198],rsu[0],544,5,562,558,177.41987867647077,109.99549999999999,27.068,508.978,51.7702205882353,59.0,55.64199999999997,97.4910394265233,100.0
V2I,rsu[0],carNoIp[206],carNoIp[206],rsu[0],474,0,488,489,172.41402742615963,80.68,23.928,495.98900000000003,59.19409282700422,57.0,48.841999999999985,96.93251533742331,100.0
V2I,rsu[0],carNoIp[203],carNoIp[203],rsu[0],479,5,500,496,190.89473277661804,130.232,27.065,522.094,43.31106471816284,39.0,49.486999999999995,96.57258064516128,100.0
