t,rsu,msgId,lat,lon,heading,speed,dist_m,delay_ms,verified,cert_size,sig_size,spdu_size,Algorithm
1.171000,rsu[0],0,330.854443,349.559527,1.570796,0.000000,152.791,71.000,1,897,658,1624,Falcon-512
1.271000,rsu[0],1,330.854606,349.334621,1.570796,0.000000,152.571,71.000,1,897,656,1622,Falcon-512
1.371000,rsu[0],2,330.854779,349.095994,1.570796,0.000000,152.337,71.000,1,897,655,1621,Falcon-512
1.771000,rsu[0],6,330.855582,347.985561,1.570796,0.000000,151.251,71.000,1,897,654,1620,Falcon-512
1.871000,rsu[0],7,330.855817,347.661545,1.570796,0.000000,150.934,71.000,1,897,651,1617,Falcon-512
1.971000,rsu[0],8,330.856063,347.321166,1.570796,0.000000,150.601,71.000,1,897,659,1625,Falcon-512
2.171000,rsu[0],10,330.856598,346.581495,1.570796,0.000000,149.877,71.000,1,897,657,1623,Falcon-512
2.571000,rsu[0],14,330.857818,344.894984,1.570796,0.000000,148.229,71.000,1,897,656,1622,Falcon-512
2.671000,rsu[0],15,330.858153,344.432488,1.570796,0.000000,147.777,71.000,1,897,653,1619,Falcon-512
2.771000,rsu[0],16,330.858499,343.953726,1.570796,0.000000,147.309,71.000,1,897,658,1624,Falcon-512
2.971000,rsu[0],18,330.859241,342.929618,1.570796,0.000000,146.308,71.000,1,897,655,1621,Falcon-512
3.071000,rsu[0],19,330.859632,342.388851,1.570796,0.000000,145.780,71.000,1,897,654,1620,Falcon-512
3.271000,rsu[0],21,330.860467,341.234164,1.570796,0.000000,144.653,71.000,1,897,657,1623,Falcon-512
3.571000,rsu[0],24,330.861848,339.326397,1.570796,0.000000,142.791,71.000,1,897,655,1621,Falcon-512
3.671000,rsu[0],25,330.862341,338.644657,1.570796,0.000000,142.126,71.000,1,897,653,1619,Falcon-512
3.871000,rsu[0],27,330.863361,337.235636,1.570796,0.000000,140.752,71.000,1,897,658,1624,Falcon-512
3.971000,rsu[0],28,330.863893,336.499997,1.570796,0.000000,140.035,71.000,1,897,654,1620,Falcon-512
4.171000,rsu[0],30,330.865009,334.957320,1.570796,0.000000,138.532,71.000,1,897,656,1622,Falcon-512
4.471000,rsu[0],33,330.866792,332.494034,1.570796,0.000000,136.134,71.000,1,897,658,1624,Falcon-512
5.071000,rsu[0],39,330.870391,326.972344,1.570796,0.000000,130.767,71.000,1,897,655,1621,Falcon-512
5.171000,rsu[0],40,330.870749,325.976466,1.570796,0.000000,129.800,71.000,1,897,659,1625,Falcon-512
5.486000,rsu[0],43,330.871863,322.876464,1.570796,0.000000,126.794,86.000,1,897,655,1621,Falcon-512
