t,receiver,sender,msgId,lat,lon,dist_m,delay_ms,Numer of Vehicles,verified,spdu_overhead,cert_metadata,digest_size,pk_size,sig_size,bsm_data_size,spdu_size,Algorithm,signerType
1.115000,rsu[0],carNoIp[3],0,1023.400000,861.590000,140.463,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.130000,rsu[0],carNoIp[11],0,501.016000,1026.599000,499.717,30.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.132000,rsu[0],carNoIp[7],0,1026.599000,1185.489000,187.453,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.148000,rsu[0],carNoIp[5],0,1023.400000,875.104000,127.167,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.159000,rsu[0],carNoIp[4],0,1020.200000,612.725000,387.834,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.166000,rsu[0],carNoIp[10],0,829.784000,1029.800000,172.877,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.193000,rsu[0],carNoIp[8],0,1026.599000,1406.850000,407.749,93.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.215000,rsu[0],carNoIp[3],1,1023.400000,861.826000,140.231,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.232000,rsu[0],carNoIp[7],1,1026.599000,1185.268000,187.234,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.248000,rsu[0],carNoIp[5],1,1023.400000,875.332000,126.944,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.259000,rsu[0],carNoIp[4],1,1020.200000,612.950000,387.609,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.266000,rsu[0],carNoIp[10],1,830.008000,1029.800000,172.657,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.293000,rsu[0],carNoIp[8],1,1026.599000,1406.624000,407.524,93.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.294000,rsu[0],carNoIp[6],1,1026.599000,1643.317000,643.886,94.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.300000,rsu[0],carNoIp[9],1,498.992000,1029.800000,501.918,100.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.315000,rsu[0],carNoIp[3],2,1023.400000,862.085000,139.975,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.332000,rsu[0],carNoIp[7],2,1026.599000,1185.025000,186.994,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.348000,rsu[0],carNoIp[5],2,1023.400000,875.581000,126.699,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.359000,rsu[0],carNoIp[4],2,1020.200000,613.200000,387.359,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.366000,rsu[0],carNoIp[10],2,830.252000,1029.800000,172.416,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.393000,rsu[0],carNoIp[8],2,1026.599000,1406.376000,407.276,93.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.415000,rsu[0],carNoIp[3],3,1023.400000,862.371000,139.694,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.430000,rsu[0],carNoIp[11],3,501.707000,1026.599000,499.027,30.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.432000,rsu[0],carNoIp[7],3,1026.599000,1184.763000,186.735,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.448000,rsu[0],carNoIp[5],3,1023.400000,875.846000,126.439,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.459000,rsu[0],carNoIp[4],3,1020.200000,613.474000,387.086,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.466000,rsu[0],carNoIp[10],3,830.521000,1029.800000,172.152,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.493000,rsu[0],carNoIp[8],3,1026.599000,1406.110000,407.011,93.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.500000,rsu[0],carNoIp[9],3,499.524000,1029.800000,501.387,100.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.515000,rsu[0],carNoIp[3],4,1023.400000,862.677000,139.392,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.530000,rsu[0],carNoIp[11],4,501.969000,1026.599000,498.766,30.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.532000,rsu[0],carNoIp[7],4,1026.599000,1184.481000,186.456,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.548000,rsu[0],carNoIp[5],4,1023.400000,876.133000,126.157,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.559000,rsu[0],carNoIp[4],4,1020.200000,613.774000,386.786,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.566000,rsu[0],carNoIp[10],4,830.810000,1029.800000,171.867,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.593000,rsu[0],carNoIp[8],4,1026.599000,1405.818000,406.720,93.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.600000,rsu[0],carNoIp[9],4,499.821000,1029.800000,501.091,100.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.615000,rsu[0],carNoIp[3],5,1023.400000,862.996000,139.078,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.632000,rsu[0],carNoIp[7],5,1026.599000,1184.181000,186.159,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.648000,rsu[0],carNoIp[5],5,1023.400000,876.446000,125.850,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.659000,rsu[0],carNoIp[4],5,1020.200000,614.094000,386.467,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.666000,rsu[0],carNoIp[10],5,831.116000,1029.800000,171.566,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.693000,rsu[0],carNoIp[8],5,1026.599000,1405.507000,406.409,93.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.700000,rsu[0],carNoIp[9],5,500.142000,1029.800000,500.770,100.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.715000,rsu[0],carNoIp[3],6,1023.400000,863.334000,138.745,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.730000,rsu[0],carNoIp[11],6,502.557000,1026.599000,498.179,30.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.732000,rsu[0],carNoIp[7],6,1026.599000,1183.857000,185.838,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.748000,rsu[0],carNoIp[5],6,1023.400000,876.774000,125.528,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.759000,rsu[0],carNoIp[4],6,1020.200000,614.428000,386.133,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.766000,rsu[0],carNoIp[10],6,831.436000,1029.800000,171.251,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.793000,rsu[0],carNoIp[8],6,1026.599000,1405.181000,406.084,93.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.815000,rsu[0],carNoIp[3],7,1023.400000,863.690000,138.394,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.830000,rsu[0],carNoIp[11],7,502.883000,1026.599000,497.853,30.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.832000,rsu[0],carNoIp[7],7,1026.599000,1183.509000,185.494,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.848000,rsu[0],carNoIp[5],7,1023.400000,877.124000,125.184,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.859000,rsu[0],carNoIp[4],7,1020.200000,614.784000,385.778,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.866000,rsu[0],carNoIp[10],7,831.778000,1029.800000,170.914,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.893000,rsu[0],carNoIp[8],7,1026.599000,1404.836000,405.740,93.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.900000,rsu[0],carNoIp[9],7,500.827000,1029.800000,500.087,100.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.915000,rsu[0],carNoIp[3],8,1023.400000,864.064000,138.026,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.930000,rsu[0],carNoIp[11],8,503.226000,1026.599000,497.511,30.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.932000,rsu[0],carNoIp[7],8,1026.599000,1183.138000,185.127,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.948000,rsu[0],carNoIp[5],8,1023.400000,877.495000,124.820,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.959000,rsu[0],carNoIp[4],8,1020.200000,615.158000,385.404,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.966000,rsu[0],carNoIp[10],8,832.145000,1029.800000,170.553,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
1.993000,rsu[0],carNoIp[8],8,1026.599000,1404.468000,405.373,93.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
2.000000,rsu[0],carNoIp[9],8,501.201000,1029.800000,499.713,100.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
2.009000,rsu[0],carNoIp[0],9,1751.283000,1020.200000,751.571,9.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
2.015000,rsu[0],carNoIp[3],9,1023.400000,864.462000,137.634,15.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
2.024000,rsu[0],carNoIp[6],9,1026.599000,1640.856000,641.427,24.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
2.032000,rsu[0],carNoIp[7],9,1026.599000,1182.742000,184.735,32.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
2.048000,rsu[0],carNoIp[5],9,1023.400000,877.889000,124.433,48.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
2.059000,rsu[0],carNoIp[4],9,1020.200000,615.556000,385.007,59.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
2.066000,rsu[0],carNoIp[10],9,832.527000,1029.800000,170.177,66.000,12,1,28,105,0,65,64,43,305,ECDSA P-256,1
