t,receiver,source,txRxDistanceTB,Delay,interPacketDelay
28.223000,carNoIp[8],1061,744.316,1,0
29.397000,rsu[0],1049,646.351,1,0
40.100000,carNoIp[38],1077,705.498,1,0
41.206000,carNoIp[13],1079,786.84,1,0
44.508000,carNoIp[14],1079,195.749,1,0
44.600000,carNoIp[24],1077,629.733,1,0
46.308000,carNoIp[21],1079,1088.24,1,0
52.715000,carNoIp[46],1095,1490.11,1,0
53.379000,carNoIp[40],1031,851.213,1,0
53.790000,carNoIp[34],1033,1283.2,1,0
54.290000,carNoIp[30],1033,947.779,1,0
55.915000,carNoIp[22],1095,941.727,1,0
55.981000,carNoIp[4],1101,1085.14,1,0
56.015000,carNoIp[65],1095,917.492,1,0
56.876000,carNoIp[28],1097,567.198,1,0
57.770000,carNoIp[38],1031,909.298,1,0
58.461000,carNoIp[54],1044,670.672,1,0
58.681000,carNoIp[47],1101,901.744,1,0
59.024000,carNoIp[16],1033,925.795,1,0
60.590000,carNoIp[37],1031,885.477,1,0
60.799000,carNoIp[35],1099,828.494,1,0
60.799000,carNoIp[56],1099,814.432,1,0
61.386000,carNoIp[85],1110,73.0476,1,0
62.586000,carNoIp[80],1110,1344.92,1,0
63.297000,carNoIp[7],1111,15.33,1,0
64.331000,carNoIp[32],1040,929.548,1,0
64.397000,carNoIp[13],1111,1404.45,1,0
65.480000,carNoIp[87],1110,1025.61,1,0
65.680000,carNoIp[58],1110,1089.88,1,0
66.620000,carNoIp[58],1095,910.552,1,0
66.797000,carNoIp[48],1111,1174.3,1,0
68.280000,carNoIp[31],1110,866.868,1,0
70.097000,carNoIp[55],1111,896.871,1,0
70.446000,carNoIp[83],1111,263.159,1,0
70.580000,carNoIp[90],1110,832.867,1,0
71.883000,carNoIp[89],1034,423.256,1,0
71.937000,carNoIp[20],1044,924.768,1,0
73.046000,carNoIp[26],1111,849.813,1,0
73.083000,carNoIp[49],1034,855.866,1,0
73.361000,carNoIp[28],1123,504.779,1,0
75.108000,carNoIp[91],1034,258.365,1,0
75.288000,carNoIp[51],1127,874.843,1,0
75.988000,carNoIp[41],1127,862.689,1,0
77.880000,carNoIp[71],1111,783.829,1,0
77.913000,carNoIp[6],1064,1043.11,1,0
78.267000,carNoIp[33],1034,833.134,1,0
78.723000,carNoIp[40],1042,635.251,1,0
79.441000,carNoIp[52],1046,590.762,1,0
79.923000,carNoIp[91],1042,156.396,1,0
80.958000,carNoIp[64],1137,1139.18,1,0
81.315000,carNoIp[82],1127,1024.27,1,0
84.229000,rsu[0],1064,810.069,1,0
84.583000,carNoIp[79],1028,182.951,1,0
85.701000,carNoIp[44],1141,896.388,1,0
85.767000,carNoIp[106],1034,990.846,1,0
88.901000,carNoIp[28],1141,185.029,1,0
89.276000,carNoIp[103],1137,149.767,1,0
90.237000,carNoIp[125],1036,224.457,1,0
90.366000,carNoIp[119],1046,749.897,1,0
90.679000,carNoIp[46],1028,748.165,1,0
90.851000,carNoIp[88],1082,631.892,1,0
91.169000,carNoIp[20],1042,27.9701,1,0
91.693000,carNoIp[93],1038,765.436,1,0
92.324000,carNoIp[9],1150,908.731,1,0
92.628000,carNoIp[72],1062,604.742,1,0
93.524000,carNoIp[65],1050,838.367,1,0
94.517000,carNoIp[69],1141,794.305,1,0
94.632000,carNoIp[20],1026,1194.94,1,0
94.824000,carNoIp[133],1150,217.086,1,0
95.079000,carNoIp[57],1028,820.268,1,0
95.119000,carNoIp[77],1159,841.011,1,0
95.260000,carNoIp[77],1046,871.822,1,0
95.347000,carNoIp[109],1062,705.307,1,0
95.669000,carNoIp[23],1042,1217.18,1,0
96.306000,carNoIp[32],1050,500.696,1,0
96.600000,carNoIp[85],1156,984.975,1,0
96.905000,carNoIp[89],1127,493.432,1,0
96.947000,carNoIp[111],1062,212.752,1,0
97.132000,carNoIp[11],1143,1396.94,1,0
97.534000,carNoIp[84],1026,596.084,1,0
97.762000,carNoIp[42],1036,857.226,1,0
98.806000,carNoIp[54],1165,950.351,1,0
99.050000,carNoIp[125],1054,1169.81,1,0
99.241000,carNoIp[116],1159,1189.56,1,0
99.452000,carNoIp[114],1163,970.713,1,0
99.652000,carNoIp[88],1163,1040.09,1,0
99.692000,carNoIp[66],1082,759.228,1,0
99.862000,carNoIp[89],1036,830.048,1,0
100.031000,carNoIp[103],1038,651.78,1,0
100.169000,carNoIp[41],1042,1017.63,1,0
100.624000,carNoIp[12],1054,29.2201,1,0
101.006000,carNoIp[102],1046,993.329,1,0
101.652000,carNoIp[81],1163,912.869,1,0
101.723000,carNoIp[82],1159,851.895,1,0
101.867000,carNoIp[102],1156,832.382,1,0
103.118000,carNoIp[79],1167,987.654,1,0
103.640000,carNoIp[134],1066,818.526,1,0
104.201000,carNoIp[117],1086,796.35,1,0
104.454000,carNoIp[113],1141,569.97,1,0
105.394000,carNoIp[147],1036,1238.92,1,0
105.780000,carNoIp[57],1163,953.056,1,0
106.480000,carNoIp[124],1171,353.781,1,0
106.792000,carNoIp[93],1082,886.533,1,0
107.131000,carNoIp[102],1167,988.723,1,0
109.218000,carNoIp[114],1167,866.085,1,0
109.710000,carNoIp[50],1062,978.838,1,0
109.713000,carNoIp[71],1066,811.331,1,0
109.792000,carNoIp[132],1156,897.214,1,0
109.904000,carNoIp[49],1171,1123.25,1,0
110.018000,carNoIp[67],1167,1111.12,1,0
110.118000,carNoIp[112],1167,1012.49,1,0
110.189000,carNoIp[89],1159,668.994,1,0
110.189000,carNoIp[136],1159,775.703,1,0
110.992000,carNoIp[86],1086,942.588,1,0
111.918000,carNoIp[150],1167,1078.13,1,0
111.935000,carNoIp[68],1068,630.103,1,0
111.986000,carNoIp[52],1082,514.557,1,0
112.154000,carNoIp[83],1062,961.343,1,0
