sender,total_sent
carNoIp[7],625
carNoIp[5],653
carNoIp[14],634
carNoIp[3],720
carNoIp[21],642
carNoIp[4],759
carNoIp[18],751
carNoIp[8],864
carNoIp[6],893
carNoIp[25],761
carNoIp[38],663
carNoIp[17],861
carNoIp[13],899
carNoIp[16],917
carNoIp[24],855
carNoIp[20],893
carNoIp[0],1024
carNoIp[19],949
carNoIp[12],989
carNoIp[2],1033
carNoIp[27],883
carNoIp[11],1034
carNoIp[28],854
carNoIp[10],1074
carNoIp[15],1047
carNoIp[31],911
carNoIp[9],1113
carNoIp[56],740
carNoIp[36],868
carNoIp[63],719
carNoIp[39],872
carNoIp[60],776
carNoIp[40],897
carNoIp[49],911
carNoIp[55],881
carNoIp[35],1000
carNoIp[99],563
carNoIp[95],613
carNoIp[32],1029
carNoIp[67],826
carNoIp[51],989
carNoIp[90],723
carNoIp[42],1051
carNoIp[59],991
carNoIp[52],1056
carNoIp[23],1294
carNoIp[50],1146
carNoIp[47],1181
carNoIp[66],1044
carNoIp[22],1389
carNoIp[46],1213
carNoIp[26],1366
carNoIp[45],1224
carNoIp[54],1192
carNoIp[78],969
carNoIp[30],1355
carNoIp[98],871
carNoIp[61],1138
carNoIp[86],951
carNoIp[1],1552
carNoIp[87],956
carNoIp[94],921
carNoIp[44],1265
carNoIp[65],1115
carNoIp[58],1195
carNoIp[29],1390
carNoIp[33],1354
carNoIp[106],833
carNoIp[114],758
carNoIp[77],1027
carNoIp[37],1330
carNoIp[97],928
carNoIp[126],704
carNoIp[93],975
carNoIp[73],1091
carNoIp[53],1292
carNoIp[134],701
carNoIp[69],1156
carNoIp[62],1236
carNoIp[84],1057
carNoIp[113],846
carNoIp[85],1073
carNoIp[102],966
carNoIp[34],1470
carNoIp[109],907
carNoIp[57],1338
carNoIp[105],985
carNoIp[74],1221
carNoIp[117],884
carNoIp[118],894
carNoIp[110],971
carNoIp[70],1310
carNoIp[101],1086
carNoIp[138],869
carNoIp[173],622
carNoIp[43],1572
carNoIp[119],1031
carNoIp[124],997
carNoIp[120],1023
carNoIp[89],1336
carNoIp[158],776
carNoIp[48],1642
carNoIp[129],1043
carNoIp[71],1468
carNoIp[72],1432
carNoIp[76],1397
carNoIp[107],1218
carNoIp[104],1224
carNoIp[91],1376
carNoIp[131],1079
carNoIp[75],1456
carNoIp[100],1274
carNoIp[79],1425
carNoIp[80],1403
carNoIp[96],1337
carNoIp[171],815
carNoIp[116],1165
carNoIp[103],1316
carNoIp[151],950
carNoIp[143],1030
carNoIp[180],730
carNoIp[111],1266
carNoIp[175],818
carNoIp[64],1608
carNoIp[162],867
carNoIp[135],1130
carNoIp[115],1244
carNoIp[112],1247
carNoIp[156],918
carNoIp[139],1107
carNoIp[147],1057
carNoIp[92],1478
carNoIp[122],1227
carNoIp[140],1137
carNoIp[132],1222
carNoIp[187],813
carNoIp[152],1049
carNoIp[179],906
carNoIp[176],939
carNoIp[108],1440
carNoIp[82],1634
carNoIp[159],1071
carNoIp[160],1062
carNoIp[172],1036
carNoIp[183],981
carNoIp[130],1428
carNoIp[155],1213
carNoIp[146],1306
carNoIp[157],1194
carNoIp[150],1279
carNoIp[125],1478
carNoIp[166],1188
carNoIp[190],1009
carNoIp[165],1219
carNoIp[186],1073
carNoIp[81],1836
carNoIp[167],1240
carNoIp[205],942
carNoIp[207],951
carNoIp[194],1028
carNoIp[164],1255
carNoIp[177],1190
carNoIp[193],1044
carNoIp[181],1169
carNoIp[189],1111
carNoIp[127],1603
carNoIp[204],1012
carNoIp[225],876
carNoIp[247],748
