sender,total_sent
carNoIp[0],590
carNoIp[1],590
carNoIp[2],590
carNoIp[3],590
carNoIp[4],590
carNoIp[5],590
carNoIp[6],590
carNoIp[7],590
carNoIp[8],590
carNoIp[9],590
carNoIp[10],590
carNoIp[11],590
carNoIp[12],533
carNoIp[13],533
carNoIp[14],533
carNoIp[15],533
carNoIp[16],477
carNoIp[17],477
carNoIp[18],477
carNoIp[19],477
carNoIp[20],421
carNoIp[21],421
carNoIp[22],421
carNoIp[23],421
carNoIp[24],365
carNoIp[25],365
carNoIp[26],365
carNoIp[27],365
carNoIp[28],308
carNoIp[29],308
carNoIp[30],308
carNoIp[31],308
carNoIp[32],252
carNoIp[33],252
carNoIp[34],252
carNoIp[35],252
carNoIp[36],196
carNoIp[37],196
carNoIp[38],196
carNoIp[39],196
carNoIp[40],140
carNoIp[41],140
carNoIp[42],140
carNoIp[43],140
carNoIp[44],140
carNoIp[45],140
carNoIp[46],140
carNoIp[47],140
carNoIp[48],140
carNoIp[49],140
carNoIp[50],140
carNoIp[51],140
carNoIp[52],83
carNoIp[53],83
carNoIp[54],83
carNoIp[55],83
carNoIp[56],27
carNoIp[57],27
carNoIp[58],27
carNoIp[59],27
